Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Fehérje,Zsír,Szénhidrát,Víz,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,Telített zsírsav,Többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,Rost,Cukor,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,Egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
zsemlemorzsa,gabonaipari termékek,"kifli, zsemle",13.35,4.286,71.98,6.51,0.165,0.043,0.732,0.183,0.121,0.0146,0.006634,,1.203,2.06,0.00483,0.00145,0.000255,0.000919,25.2,4.5,6.2,0.000967,0.00040300000000000004,0.0005520000000000001,107.0,8e-05,,0.35,1.023,,,6.6,,,,,,,82.0
törökmogyoró,gyümölcsök,diófélék,13.7,58.419,17.0,5.79,0.31,0.16,,0.149,0.585,,0.00155,0.002,4.669,5.558,0.0033,0.0022,0.0016,0.01265,4.1,11.0,3.49,0.000475,0.00011,0.000815,78.0,0.0175,,,48.192,23.0,,,2.0,,2.0,,,,
torma,ízesítők,friss fűszernövény,2.0,0.0,15.0,76.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,
ecet,ízesítők,ecetfélék,0.0,0.0,0.04,94.78,0.004,0.001,0.002,0.006,,,,,,,2.9999999999999997e-05,1e-05,6e-06,5.5e-05,0.5,,0.04,,,,,,,,,,,,,,,,,,
pomelo,gyümölcsök,déli gyümölcs,0.76,0.0,9.62,89.1,0.017,0.006,0.001,0.004,0.036,,0.00022,0.061,,,0.00011,8e-05,4.8e-05,1.7e-05,,1.0,,3.4e-05,2.7e-05,,,,,,,,,,,,,10.0,,,
csírák,zöldségek,egyéb zöldség,3.81,2.327,3.6,90.07,0.113,0.044,0.006,0.051,0.285,,0.002853,0.0289,0.767,1.141,0.00086,0.0005600000000000001,0.00011999999999999999,0.00026000000000000003,0.6,,,0.000102,0.000103,0.000733,95.0,,,,0.419,,,,20.0,,,,,,
sonkahagyma,zöldségek,hagymaféle,1.1,0.072,9.34,89.11,0.029,0.01,0.004,0.023,0.12,0.0060999999999999995,0.000116,0.0074,0.042,0.017,0.00020999999999999998,0.00017,3.9e-05,0.000129,0.5,1.7,4.24,4.6e-05,2.7e-05,0.000123,19.0,2e-05,,,0.013,1.0,4.0,0.4,,,,,,,
scamorza,tejtermékek,sajtok,21.0,3.0,1.0,0.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
borókabogyó,ízesítők,szárított fűszer,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kókuszolaj,zsiradékok,növényi eredetű zsiradék,0.0,90.509,0.0,0.03,,,,0.001,,0.0003,,,82.475,1.702,5e-05,2e-05,,,,,,,,,,0.00011,,,6.332,,,0.6,,,,,,,
articsóka,zöldségek,egyéb zöldség,3.27,0.105,10.51,84.94,0.09,0.06,0.094,0.044,0.116,0.0344,0.001046,0.011699999999999999,0.036,0.064,0.00128,0.00049,0.000231,0.000256,0.2,5.4,0.99,7.199999999999999e-05,6.6e-05,0.00033800000000000003,68.0,0.00019,,,0.005,8.0,464.0,14.8,1.0,,,,,,
bambuszrügy,zöldségek,zöldségkonzervek,1.72,0.279,3.22,94.32,0.025,0.004,0.007,0.008,0.136,,0.00014000000000000001,0.0011,0.092,0.178,0.00032,0.00065,0.000114,0.000157,0.5,1.4,1.89,2.6e-05,2.6e-05,9.2e-05,3.0,0.00063,,,0.009,8.0,,,1.0,,,,,,
háztartási keksz,gabonaipari termékek,"keksz, piskóta",9.0,3.0,80.0,0.0,,,0.3,,,,,,3.0,,,,,,,3.0,19.0,,,,,,,,,,,,,,,,,,
pacal,"húsok, belsőségek",marha,12.07,122003.004,0.0,84.16,0.064,0.013,0.097,0.069,0.014,0.1948,0.0008810000000000001,,1.291,0.18,0.0005899999999999999,0.0014199999999999998,7.000000000000001e-05,8.5e-05,12.5,,,,6.4e-05,0.00022700000000000002,5.0,8.999999999999999e-05,,1.39,1.533,,,,,,,,122.0,,
cointreau,italok,alkoholos ital,0.0,0.0,0.0,66.6,0.005,,0.001,,,,,,,,1e-05,,1e-05,,,,,5e-06,7e-06,,,,,,,,,,,,,,,,
kifli,gabonaipari termékek,"kifli, zsemle",9.77,3.37,50.12,34.34,0.101,0.023,0.494,0.144,0.063,0.0146,0.00418,0.0013,0.842,1.78,0.0034300000000000003,0.00073,0.00010899999999999999,0.000512,27.2,1.8,7.28,0.0005430000000000001,0.000297,0.000555,94.0,0.00027,,0.2,0.748,7.0,6.0,4.8,29.0,,,,,29.0,53.0
zsemle,gabonaipari termékek,"kifli, zsemle",8.6,5.713,46.0,37.0,0.104,0.036,0.524,0.176,0.076,0.018699999999999998,0.004072,,1.497,1.107,0.0035499999999999998,0.0009,0.00015,0.0010229999999999998,33.0,3.8,1.63,0.000433,0.000273,0.000364,60.0,0.00035999999999999997,,,3.109,,65.0,2.7,,,,,,,45.0
cayenne paprika,ízesítők,szárított fűszer,12.01,14.38,56.63,8.05,0.293,0.152,0.03,0.148,2.45,0.0515,0.008701,0.07640000000000001,3.26,8.37,0.0078,0.00248,0.000373,0.002,8.8,27.2,10.34,0.000328,0.000919,,106.0,0.02983,,,2.75,21840.0,13157.0,80.3,2081.0,,,6252.0,,,
szőlőmagolaj,zsiradékok,növényi eredetű zsiradék,0.0,95.6,0.0,0.0,,,,,,,,,9.6,69.9,,,,,,,,,,,,0.0288,,,16.1,,,,,,,,,,
ajvár,zöldségek,egyéb zöldségkészítmény,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pisztráng,halak,édesvizi hal,20.77,58005.902,0.0,71.42,0.245,0.022,0.052,0.043,0.2,0.065,0.0045,0.0005,1.149,1.499,0.0015,0.00066,0.000188,0.000851,12.6,,,0.00035,0.00033,0.0019399999999999999,13.0,0.0002,155.0,7.79,3.254,,,0.1,17.0,,,,58.0,17.0,
birsalma,gyümölcsök,almatermésűek,0.4,0.096,15.3,83.8,0.017,0.008,0.004,0.011,0.04,,0.0002,0.015,0.01,0.05,0.0007,4e-05,0.00013000000000000002,,0.6,1.9,,2e-05,2.9999999999999997e-05,8.1e-05,3.0,,,,0.036,,,,2.0,,,,,,
kelbimbó,zöldségek,káposztafélék,3.38,0.238,8.95,86.0,0.069,0.023,0.025,0.042,0.219,0.019100000000000002,0.000745,0.085,0.062,0.153,0.0014,0.00041999999999999996,7.000000000000001e-05,0.000337,1.6,3.8,2.2,0.00013900000000000002,8.999999999999999e-05,0.000309,61.0,0.00088,,,0.023,450.0,1590.0,177.0,38.0,,6.0,,,,
kumquat,gyümölcsök,déli gyümölcs,1.88,0.428,15.9,80.85,0.019,0.02,0.01,0.062,0.036,0.008400000000000001,0.000429,0.0439,0.103,0.171,0.00086,0.00017,9.5e-05,0.000135,,6.5,9.36,3.7e-05,8.999999999999999e-05,0.000208,17.0,0.00015,,,0.154,,129.0,,15.0,,155.0,193.0,,,
papaja,gyümölcsök,egzotikus gyümölcs,0.47,0.211,10.82,88.06,0.01,0.021,0.008,0.02,0.038,0.0060999999999999995,0.000357,0.060899999999999996,0.081,0.058,0.00025,8e-05,4.4999999999999996e-05,4e-05,0.6,1.7,7.82,2.3e-05,2.7e-05,0.000191,37.0,0.0003,,,0.072,274.0,89.0,2.6,47.0,1828.0,2.0,589.0,,,
római kömény,ízesítők,szárított fűszer,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jégcukor,édesítők,"cukorka, csokoládé",0.0,0.0,99.98,0.02,,,0.001,0.001,,,,,,,5e-05,1e-05,7e-06,4e-06,0.6,,99.8,,1.9e-05,,,,,,,,,,,,,,,,
fodros kel,zöldségek,káposztafélék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felesborsó,zöldségek,hüvelyesek,23.12,2.045,61.63,8.69,0.334,0.063,0.005,0.046,0.14,0.1569,0.003608,0.0018,0.408,1.022,0.004730000000000001,0.00349,0.000809,0.0011899999999999999,10.7,22.2,3.14,0.000719,0.000244,0.000962,15.0,0.00011999999999999999,,,0.615,89.0,,15.9,7.0,,,,,,
tandoori krém,ízesítők,fűszerkrém,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fenyérfű,ízesítők,friss fűszernövény,1.82,0.343,25.31,70.58,0.101,0.06,0.006,0.065,0.08,,0.001101,0.0026,0.119,0.17,0.00817,0.0022299999999999998,0.000266,0.005224,0.7,,,6.500000000000001e-05,0.000135,5e-05,75.0,,,,0.054,3.0,,,,,,,,,
ringli,halak,halkészítmények,28.89,85008.535,0.0,50.3,0.252,0.069,3.668,0.232,0.203,0.085,0.019902999999999997,,2.203,2.562,0.00463,0.00244,0.000339,0.0001,68.1,,,7.8e-05,0.000363,0.000909,13.0,0.00333,69.0,0.88,3.77,,,12.1,12.0,,,,85.0,12.0,
mustármag,ízesítők,szárított fűszer,26.08,34.595,28.09,5.27,0.828,0.37,0.013,0.266,0.397,0.1227,0.004732999999999999,0.0070999999999999995,1.989,10.088,0.009210000000000001,0.00608,0.0006450000000000001,0.002448,208.1,12.2,6.79,0.000805,0.000261,0.0008100000000000001,162.0,0.00507,,,22.518,18.0,568.0,5.4,2.0,,,,,,
csillaggyümölcs,gyümölcsök,egzotikus gyümölcs,1.04,0.233,6.73,91.38,0.012,0.01,0.002,0.003,0.017,0.0076,0.000367,0.0344,0.019,0.184,8e-05,0.00011999999999999999,0.00013700000000000002,3.7e-05,0.6,2.8,3.98,1.4e-05,1.6e-05,0.000391,12.0,0.00015,,,0.03,25.0,66.0,,3.0,,24.0,,,,
fürjtojás,tojások,fürjtojás,13.05,844009.205,0.41,74.35,0.226,0.013,0.141,0.064,0.15,0.26339999999999997,0.00015,,3.557,1.324,0.00365,0.00147,6.2e-05,3.8e-05,32.0,,0.4,0.00013000000000000002,0.00079,0.001761,66.0,0.00108,55.0,1.58,4.324,11.0,369.0,0.3,156.0,,,10.0,844.0,155.0,
retek,zöldségek,gyökérzöldség,0.68,0.097,3.4,95.27,0.02,0.01,0.039,0.025,0.071,0.0065,0.000254,0.0148,0.032,0.048,0.00034,0.00028000000000000003,5e-05,6.900000000000001e-05,0.6,1.6,1.86,1.2e-05,3.9e-05,0.000165,25.0,,,,0.017,4.0,10.0,1.3,,,,,,,
mogyoróvaj,magvak,egyéb magvak,22.21,48.801,22.31,1.23,0.335,0.168,0.017,0.049,0.441,0.063,0.013112,,10.325,12.535,0.00174,0.0025099999999999996,0.000422,0.001665,4.1,5.0,10.49,0.00015,0.000192,0.001137,87.0,0.0091,,,25.941,,,0.3,,,,,,,
napraforgó olaj,zsiradékok,növényi eredetű zsiradék,0.0,95.6,0.0,0.0,,,,,,,,,13.0,36.4,,,,,,,,,,,,0.04108,,,46.2,,,5.4,,,,,,,
szezámolaj,zsiradékok,növényi eredetű zsiradék,0.0,95.6,0.0,0.0,,,,,,0.0002,,,14.2,41.7,,,,,,,,,,,,0.0014,,,39.7,,,13.6,,,,,,,
étkezési keményítő,gabonaipari termékek,keményítő,0.26,0.05,91.27,8.32,0.013,0.003,0.009,0.002,,0.0004,,,0.009,0.025,0.00047,5.9999999999999995e-05,5e-05,5.3e-05,2.8,0.9,,,,,,,,,0.016,,,,,,,,,,
rizsecet,ízesítők,ecetfélék,0.0,0.0,0.04,94.78,0.004,0.001,0.002,0.006,,,,,,,2.9999999999999997e-05,1e-05,6e-06,5.5e-05,0.5,,0.04,,,,,,,,,,,,,,,,,,
madársaláta,zöldségek,levélzöldség,2.0,0.0,3.6,92.8,0.053,0.013,0.004,0.038,0.273,,0.000415,0.038200000000000005,,,0.00218,0.0005899999999999999,0.000134,0.000359,0.9,,,7.099999999999999e-05,8.7e-05,4.2000000000000004e-05,14.0,,,,,,,,355.0,,,,,,
xilit,édesítők,édesítőszerek,0.0,0.0,58.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortazselé,ízesítők,adalékanyag,0.0,0.0,84.0,0.0,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,
habfixáló,ízesítők,adalékanyag,0.0,0.0,93.0,0.0,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,
laskagomba,gombák,erdei gomba,3.31,0.216,6.09,89.18,0.12,0.018,0.018,0.003,0.11,0.0487,0.004956,,0.062,0.123,0.00133,0.0007700000000000001,0.000244,0.00011300000000000001,2.6,2.3,1.11,0.000125,0.00034899999999999997,0.001294,38.0,,29.0,,0.031,29.0,,,2.0,,,,,,
burgonyapehely,zöldségek,egyéb zöldségkészítmény,8.34,0.321,81.17,6.58,0.156,0.066,0.077,0.027,0.748,0.0549,0.0062640000000000005,0.081,0.169,0.143,0.00121,0.0007,0.000161,0.000161,13.4,6.6,3.36,0.000988,0.00011,0.002079,46.0,2.9999999999999997e-05,,,0.009,6.0,37.0,8.7,1.0,,,,,,
fehér hagyma,zöldségek,hagymaféle,1.1,0.072,9.34,89.11,0.029,0.01,0.004,0.023,0.12,0.0060999999999999995,0.000116,0.0074,0.042,0.017,0.00020999999999999998,0.00017,3.9e-05,0.000129,0.5,1.7,4.24,4.6e-05,2.7e-05,0.000123,19.0,2e-05,,,0.013,1.0,4.0,0.4,,,,,,,
leveles tészta,gabonaipari termékek,tésztaalap,6.0,11.0,35.0,0.0,,,0.2,,,,,,11.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
busa,halak,édesvizi hal,17.83,66004.842,0.0,76.31,0.415,0.029,0.049,0.041,0.19,0.065,0.00164,0.0016,1.083,1.431,0.00124,0.00148,5.7e-05,4.2000000000000004e-05,12.6,,,0.000115,5.5e-05,0.00075,15.0,0.00063,988.0,1.53,2.328,,,0.1,9.0,,,,66.0,9.0,
mangalica hús,"húsok, belsőségek",mangalica,21.34,64011.228,0.0,70.14,0.216,0.024,0.047,0.007,0.718,0.0573,0.005566,,2.76,1.987,0.00053,0.00173,5.6e-05,7e-06,26.5,,,0.000426,0.00018099999999999998,0.000722,,0.00011999999999999999,21.0,0.54,6.481,,,,2.0,,,,64.0,2.0,
okra,zöldségek,egyéb zöldség,1.93,0.07,7.45,89.58,0.061,0.057,0.007,0.082,0.215,0.0123,0.001,0.023,0.026,0.027,0.00062,0.00058,0.00010899999999999999,0.0007880000000000001,0.7,3.2,1.48,0.0002,5.9999999999999995e-05,0.000245,60.0,0.00027,,,0.017,416.0,280.0,31.3,36.0,,27.0,,,,
macesz,gabonaipari termékek,kenyérfélék,10.0,0.0,60.0,0.0,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,
ördöghal,halak,tengeri hal,14.48,25001.19,0.0,83.24,0.2,0.021,0.018,0.008,0.24,,0.0021000000000000003,0.001,0.34,0.61,0.00032,0.00041,2.8e-05,2.4e-05,36.5,,,2.5e-05,5.9999999999999995e-05,0.00015,7.0,,,0.9,0.24,,,,12.0,,,,25.0,12.0,
pangasius,halak,édesvizi hal,15.23,55005.002,0.0,79.06,0.204,0.019,0.098,0.008,0.154,0.065,0.002105,,1.31,1.119,0.00023,0.00047999999999999996,3.2e-05,1.4999999999999999e-05,8.2,,,2e-05,8.3e-05,0.00067,10.0,0.0008100000000000001,9.0,2.88,2.573,,,2.1,,,,,55.0,,
barna cukor,édesítők,cukrok,0.12,0.0,98.09,1.34,0.004,0.009,0.028,0.083,0.041,0.0023,0.00011,,,,0.0007099999999999999,2.9999999999999997e-05,4.7e-05,6.4e-05,1.2,,97.02,,,0.000132,1.0,,,,,,,,,,,,,,
krinolin,"felvágottak, húskrémek","virsli, krinolin",12.81,66021.842,0.28,59.85,0.171,0.015,0.816,0.267,0.322,,0.0027730000000000003,0.002,8.719,2.233,0.0037,0.00209,7.4e-05,1.6e-05,27.8,0.1,,0.000593,0.000179,0.000509,3.0,,,0.49,10.89,,,,79.0,,,,66.0,79.0,
rebarbara,zöldségek,levélzöldség,0.9,0.191,4.54,93.61,0.014,0.012,0.004,0.086,0.024,0.0060999999999999995,0.0003,0.008,0.053,0.099,0.00022,0.0001,2.1000000000000002e-05,0.00019600000000000002,1.1,1.8,1.1,2e-05,2.9999999999999997e-05,8.5e-05,7.0,0.00027,,,0.039,61.0,170.0,29.3,5.0,,,,,,
csipkebogyó,"gyógynövények, virágok",termés,1.6,0.0,38.22,58.66,0.061,0.069,0.004,0.169,0.076,0.012,0.0013,0.426,,,0.00106,0.00025,0.00011300000000000001,0.00102,,24.1,2.58,1.6e-05,0.000166,0.0008,3.0,0.00584,,,,2350.0,2001.0,25.9,217.0,6800.0,31.0,483.0,,,
brazil dió - paradió,gyümölcsök,diófélék,14.32,64.412,11.74,3.42,0.725,0.376,0.003,0.16,0.101,0.0288,0.00029499999999999996,0.0007,16.134,24.399,0.0024300000000000003,0.004059999999999999,0.0017430000000000002,0.0012230000000000001,1917.0,7.5,2.33,0.000617,3.5000000000000004e-05,0.000184,22.0,0.0056500000000000005,,,23.879,,,,,,,,,,
szárított natúr zöldségkeverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zöldkagyló,tenger gyümölcsei,tenger gyümölcsei,11.9,28001.538,3.69,80.58,0.197,0.034,0.286,0.026,0.05,0.065,0.0016,0.008,0.425,0.606,0.00395,0.0016,9.4e-05,0.0034,44.8,,,0.00016,0.00020999999999999998,0.0005,42.0,0.00055,,12.0,0.507,,,0.1,48.0,,,,28.0,48.0,
curry levél,ízesítők,friss fűszernövény,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halloumi sajt,tejtermékek,sajtok,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
provence-i fűszerkeverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bulgur,gabonaipari termékek,gabona,12.29,0.946,75.87,9.0,0.3,0.164,0.017,0.035,0.342,0.0281,0.005114,,0.232,0.541,0.00246,0.0019299999999999999,0.000335,0.003048,2.3,12.5,0.41,0.000232,0.000115,0.001045,27.0,5.9999999999999995e-05,,,0.173,5.0,220.0,1.9,,,,,,,
egres,gyümölcsök,bogyós gyümölcs,0.88,0.406,10.18,87.87,0.027,0.01,0.001,0.025,0.08,,0.0003,0.0277,0.038,0.317,0.00031,0.00011999999999999999,7.000000000000001e-05,0.00014399999999999998,0.6,4.3,,4e-05,2.9999999999999997e-05,0.00028599999999999996,6.0,0.00037,,,0.051,,,,15.0,,,,,,
levendulavirág,"gyógynövények, virágok",gyógynövény,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cikória,zöldségek,levélzöldség,0.9,0.07,4.0,94.52,0.026,0.01,0.002,0.019,0.042,,0.00016,0.0028,0.024,0.044,0.00023999999999999998,0.00016,5.1e-05,0.0001,0.2,3.1,,6.2e-05,2.7e-05,0.000145,37.0,,,,0.002,,,,1.0,,,,,,
kínai ötfűszer-keverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kárász,halak,édesvizi hal,17.83,66004.842,0.0,76.31,0.415,0.029,0.049,0.041,0.19,0.065,0.00164,0.0016,1.083,1.431,0.00124,0.00148,5.7e-05,4.2000000000000004e-05,12.6,,,0.000115,5.5e-05,0.00075,15.0,0.00063,988.0,1.53,2.328,,,0.1,9.0,,,,66.0,9.0,
amur,halak,édesvizi hal,17.83,66004.842,0.0,76.31,0.415,0.029,0.049,0.041,0.19,0.065,0.00164,0.0016,1.083,1.431,0.00124,0.00148,5.7e-05,4.2000000000000004e-05,12.6,,,0.000115,5.5e-05,0.00075,15.0,0.00063,988.0,1.53,2.328,,,0.1,9.0,,,,66.0,9.0,
író,tejtermékek,egyéb tejtermék,3.31,4000.947,4.79,90.13,0.089,0.011,0.148,0.116,0.034,0.0177,5.8e-05,0.001,0.66,0.033,5e-05,0.00041999999999999996,1.1e-05,2e-06,2.0,,5.36,3.4e-05,0.000154,0.000275,5.0,5e-05,1.0,0.22,0.254,1.0,,0.1,14.0,,,,4.0,13.0,
pillecukor,édesítők,"cukorka, csokoládé",1.8,0.183,81.3,16.4,0.008,0.002,0.08,0.003,0.003,0.0001,7.8e-05,,0.056,0.047,0.00023,4e-05,9.7e-05,8e-06,1.7,0.1,57.56,1e-06,1e-06,5e-06,1.0,,,,0.08,,,,,,,,,,
szarvasgomba,gombák,erdei gomba,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
tagin fűszerkeverék,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sózott citrom,egyéb gyümölcsök,egyéb gyümölcskészítmény,0.0,0.0,12.0,0.0,,,2.3,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,
tequila,italok,alkoholos ital,0.0,0.0,0.0,66.6,0.004,,0.001,,0.001,,1.3e-05,,,,4e-05,4e-05,2.1000000000000002e-05,1.7999999999999997e-05,,,,6e-06,4e-06,,,,,,,,,,,,,,,,
lestyán,ízesítők,friss fűszernövény,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
búzakorpa,gabonaipari termékek,"pehely, korpa, csíra",15.55,3.479,64.51,9.89,1.013,0.611,0.002,0.073,1.303,0.07440000000000001,0.013578,,0.63,2.212,0.01057,0.0072699999999999996,0.000998,0.0115,77.6,42.8,0.41,0.000523,0.0005769999999999999,0.002181,79.0,0.00149,,,0.637,6.0,240.0,1.9,,,,,,,
csicsóka,zöldségek,gyökérzöldség,2.0,0.005,17.44,78.01,0.078,0.017,0.004,0.014,0.077,0.03,0.0013,0.004,,0.001,0.0034,0.00011999999999999999,0.00014000000000000001,5.9999999999999995e-05,0.7,1.6,9.6,0.0002,5.9999999999999995e-05,0.000397,13.0,0.00019,,,0.004,12.0,,0.1,1.0,,,,,,
jégsaláta,zöldségek,levélzöldség,0.9,0.098,2.97,95.64,0.02,0.007,0.01,0.018,0.042,0.0067,0.000123,0.0028,0.018,0.074,0.00041,0.00015,2.5e-05,0.000125,0.1,1.2,1.97,4.1e-05,2.5e-05,9.1e-05,29.0,0.00017999999999999998,,,0.006,299.0,277.0,24.1,25.0,,4.0,,,,
pasztinák,zöldségek,gyökérzöldség,1.2,0.209,17.99,79.53,0.071,0.029,0.01,0.036,0.09,,0.0007,0.017,0.05,0.047,0.0005899999999999999,0.0005899999999999999,0.00011999999999999999,0.0005600000000000001,1.8,4.9,4.8,8.999999999999999e-05,5e-05,0.0006,67.0,0.00149,,,0.112,,,22.5,,,,,,,
csiperkegomba,gombák,erdei gomba,3.09,0.21,3.26,92.45,0.086,0.009,0.005,0.003,0.104,0.0173,0.0036070000000000004,0.0021000000000000003,0.05,0.16,0.0005,0.0005200000000000001,0.00031800000000000003,4.7e-05,9.3,1.0,1.98,8.1e-05,0.000402,0.001497,17.0,1e-05,7.0,0.04,,,,,,,,,,,
nektarin,gyümölcsök,csonthéjas gyümölcs,1.06,0.226,10.55,87.59,0.026,0.009,,0.006,0.025,0.0062,0.001125,0.0054,0.025,0.113,0.00028000000000000003,0.00017,8.599999999999999e-05,5.4e-05,,1.7,7.89,3.4e-05,2.7e-05,0.000185,5.0,0.0007700000000000001,,,0.088,150.0,130.0,2.2,17.0,,,98.0,,,
patisszon,zöldségek,"tök, spárga",1.2,0.14,3.84,94.18,0.036,0.023,0.001,0.019,0.109,0.0073,0.0006,0.018,0.041,0.084,0.0004,0.00029,0.000102,0.000157,0.2,1.2,2.39,7.000000000000001e-05,2.9999999999999997e-05,0.000102,30.0,0.00013000000000000002,,,0.015,130.0,2308.0,3.3,11.0,,,,,,
tojáslikőr,italok,alkoholos ital,0.1,0.233,46.8,31.0,0.006,0.003,0.008,0.001,,0.0008,0.00014399999999999998,,0.106,0.105,5.9999999999999995e-05,2.9999999999999997e-05,4e-05,1.4e-05,0.4,,38.3,4e-06,1.2e-05,,,,,,0.022,,,,,,,,,,
vaddisznóhús,"húsok, belsőségek",vad,21.51,2.77,0.0,72.54,0.12,,,0.012,,,0.004,,0.99,0.48,,,,,9.8,,,0.00039,0.00011,,,,,,1.3,,,,,,,,,,
ketchup,ízesítők,fűszeres szósz,1.04,0.07,27.4,68.51,0.026,0.013,0.907,0.015,0.158,0.0125,0.001434,0.0040999999999999995,0.014,0.041,0.00035,0.00017,8.5e-05,8.400000000000001e-05,0.7,0.3,21.27,1.1e-05,0.000166,4.7e-05,9.0,0.00146,,,0.015,316.0,161.0,3.0,26.0,12062.0,,,,,
puffasztott rizs,gabonaipari termékek,"pehely, korpa, csíra",6.0,0.0,68.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osztrigaszósz,ízesítők,fűszeres szósz,1.35,0.182,10.92,80.0,0.022,0.004,2.733,0.032,0.016,0.0035,0.001474,0.0001,0.043,0.066,0.00017999999999999998,8.999999999999999e-05,0.000147,5.3e-05,4.4,0.3,,1e-05,0.000124,1.6e-05,15.0,,,0.41,0.073,,,,,,,,,,
kétszersült,gabonaipari termékek,kenyérfélék,11.0,0.0,67.0,0.0,,,0.4,,,,,,,,,,,,,14.0,1.0,,,,,,,,,,,,,,,,,,
pudingpor,édesítők,"puding, pudingpor",0.26,0.05,91.27,8.32,0.013,0.003,0.009,0.002,,0.0004,,,0.009,0.025,0.00047,5.9999999999999995e-05,5e-05,5.3e-05,2.8,0.9,,,,,,,,,0.016,,,,,,,,,,
ételízesítő,ízesítők,fűszerkeverék,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tejpor,tejtermékek,egyéb tejtermék,26.32,97025.331,38.42,2.47,0.776,0.085,0.371,0.912,0.302,0.1174,0.000646,0.0086,16.742,0.665,0.00047,0.0033399999999999997,8e-05,4e-05,16.3,,38.42,0.000283,0.0012050000000000001,0.002271,37.0,0.00058,20.0,3.25,7.924,55.0,,2.2,258.0,,,,97.0,253.0,
leveskocka,ízesítők,"alapporok, mártásalapok, leveskockák",4.0,13.0,26.0,0.0,,,15.3,,,,,,13.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
ostya,gabonaipari termékek,tésztaalap,12.0,0.0,75.0,0.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
őzhús,"húsok, belsőségek",vad,22.96,85002.09,0.0,73.57,0.202,0.023,0.051,0.005,0.37,,0.00637,,0.95,0.47,0.0034,0.00209,0.000253,4.1e-05,9.7,,,0.00022,0.00047999999999999996,,4.0,0.0002,,6.31,0.67,,,1.1,,,,,85.0,,
szarvashús,"húsok, belsőségek",vad,22.96,85002.09,0.0,73.57,0.202,0.023,0.051,0.005,0.37,,0.00637,,0.95,0.47,0.0034,0.00209,0.000253,4.1e-05,9.7,,,0.00022,0.00047999999999999996,,4.0,0.0002,,6.31,0.67,,,1.1,,,,,85.0,,
