Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Fehérje,Zsír,Szénhidrát,Víz,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,Telített zsírsav,Többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,Rost,Cukor,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,Egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
vaj,tejtermékek,"vaj, vajkrém",0.85,215076.929,0.06,16.17,0.024,0.002,0.011,0.024,0.003,0.0188,4.2000000000000004e-05,,50.489,3.01,2e-05,8.999999999999999e-05,1.6e-05,4e-06,1.0,,0.06,5e-06,3.4e-05,0.00011,3.0,0.00232,,0.17,23.43,158.0,,7.0,684.0,,,,215.0,671.0,
mangó,gyümölcsök,déli gyümölcs,0.82,0.303,14.98,83.46,0.014,0.01,0.001,0.011,0.119,0.0076,0.000669,0.0364,0.092,0.071,0.00016,8.999999999999999e-05,0.000111,6.3e-05,0.6,1.6,13.66,2.8e-05,3.8e-05,0.00019700000000000002,43.0,0.0009,,,0.14,640.0,23.0,4.2,54.0,3.0,9.0,10.0,,,
olívaolaj,zsiradékok,növényi eredetű zsiradék,0.0,97.292,0.0,0.0,,,0.002,0.001,,0.0003,,,13.808,10.523,0.0005600000000000001,,,,,,,,,,,0.01435,,,72.961,,,60.2,,,,,,,
csokoládé,édesítők,"cukorka, csokoládé",4.88,8029.151,61.17,0.97,0.206,0.146,0.024,0.056,0.042,,0.000725,,18.519,1.092,0.00802,0.0020099999999999996,0.001028,0.0014190000000000001,3.0,7.0,47.9,2.5e-05,5e-05,0.000297,,0.00054,,0.23,9.54,26.0,31.0,8.1,2.0,,7.0,1.0,8.0,,
bors,ízesítők,szárított fűszer,10.39,3.129,63.95,12.46,0.158,0.171,0.02,0.443,0.291,0.011300000000000001,0.001143,,1.392,0.998,0.009710000000000002,0.0011899999999999999,0.00133,0.012753,4.9,25.3,0.64,0.000108,0.00017999999999999998,0.001399,17.0,0.0010400000000000001,,,0.739,310.0,454.0,163.7,27.0,20.0,12.0,25.0,,,
kakukkfű,ízesítők,friss fűszernövény,5.56,1.08,24.45,65.11,0.106,0.16,0.009,0.405,0.348,,0.001824,0.1601,0.467,0.532,0.01745,0.00181,0.000555,0.001719,,14.0,,4.8e-05,0.00047099999999999996,0.00040899999999999997,45.0,,,,0.081,2851.0,,,238.0,,,,,,
sajt,tejtermékek,sajtok,23.78,123026.758,0.57,45.45,0.36,0.024,0.534,0.65,0.053,0.0154,5.9999999999999995e-05,,16.691,0.729,0.00043,0.0026,2.2e-05,1.1e-05,14.5,,0.57,1.4e-05,0.00023999999999999998,0.00020999999999999998,18.0,0.00023999999999999998,21.0,1.5,9.338,29.0,,2.4,315.0,,,,123.0,313.0,
finomliszt,gabonaipari termékek,lisztek,10.33,0.655,76.31,11.92,0.108,0.022,0.002,0.015,0.044,0.0104,0.00125,,0.155,0.413,0.00117,0.0007,0.00014399999999999998,0.0006820000000000001,33.9,2.7,0.27,0.00011999999999999999,4e-05,0.000438,26.0,5.9999999999999995e-05,,,0.087,,18.0,0.3,,,,,,,
cukor,édesítők,cukrok,0.0,0.0,99.98,0.02,,,0.001,0.001,,,,,,,5e-05,1e-05,7e-06,4e-06,0.6,,99.8,,1.9e-05,,,,,,,,,,,,,,,,
édeskömény,zöldségek,egyéb zöldség,1.24,0.327,7.3,90.21,0.05,0.017,0.052,0.049,0.047,0.0132,0.00064,0.012,0.09,0.169,0.00073,0.0002,6.6e-05,0.000191,0.7,3.1,3.93,1e-05,3.2e-05,0.000232,27.0,0.00058,,,0.068,578.0,607.0,62.8,48.0,,,,,,
kávé,italok,kávé,0.12,0.184,1.67,97.8,0.007,0.08,0.014,0.002,0.002,0.0026,0.005207,0.0002,0.092,0.092,0.00013000000000000002,5e-05,5e-05,5e-05,,,,1e-06,0.000177,2.8e-05,1.0,1e-05,,,,,,0.1,,,,,,,
zöldborsó,zöldségek,hüvelyesek,5.42,0.293,14.45,78.86,0.108,0.033,0.005,0.025,0.169,0.028399999999999998,0.00209,0.04,0.071,0.187,0.00147,0.00124,0.000176,0.00041,1.8,5.7,5.67,0.000266,0.000132,0.000104,65.0,0.00013000000000000002,,,0.035,449.0,2477.0,24.8,38.0,,21.0,,,,
mandula,gyümölcsök,diófélék,21.4,49.736,18.67,4.51,0.481,0.268,0.019,0.236,0.115,0.0521,0.0035,,3.953,12.368,0.00328,0.00297,0.001027,0.001835,3.2,9.9,4.63,0.000191,0.0007109999999999999,0.000314,49.0,0.02375,,,33.415,4.0,1.0,,,,,,,,
kesudió,gyümölcsök,diófélék,18.22,39.425,30.19,5.2,0.593,0.292,0.012,0.037,0.417,,0.001062,0.0005,7.783,7.845,0.006679999999999999,0.00578,0.002195,0.001655,19.9,3.3,5.91,0.000423,5.8e-05,0.000864,25.0,0.0009,,,23.797,,22.0,34.1,,,,,,,
kapor,ízesítők,friss fűszernövény,3.46,0.957,7.02,85.95,0.066,0.055,0.061,0.208,0.185,,0.00157,0.085,0.06,0.095,0.0065899999999999995,0.00091,0.000146,0.001264,,2.1,,5.8e-05,0.000296,0.000397,150.0,,,,0.802,,,,386.0,,,,,,
gomba,gombák,erdei gomba,3.09,0.21,3.26,92.45,0.086,0.009,0.005,0.003,0.104,0.0173,0.0036070000000000004,0.0021000000000000003,0.05,0.16,0.0005,0.0005200000000000001,0.00031800000000000003,4.7e-05,9.3,1.0,1.98,8.1e-05,0.000402,0.001497,17.0,1e-05,7.0,0.04,,,,,,,,,,,
zöldbab,zöldségek,hüvelyesek,1.83,0.173,6.97,90.32,0.038,0.025,0.006,0.037,0.141,0.015300000000000001,0.000734,0.012199999999999999,0.05,0.113,0.00103,0.00023999999999999998,6.900000000000001e-05,0.000216,0.6,2.7,3.26,8.2e-05,0.000104,0.000225,33.0,0.00041,,,0.01,379.0,640.0,43.0,35.0,,69.0,,,,
prosciutto,"felvágottak, húskrémek",sonkák,32.0,35003.0,0.0,0.0,,,2.036,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,,
grépfrút,gyümölcsök,déli gyümölcs,0.63,0.051,8.08,90.89,0.008,0.008,,0.012,0.042,0.0077,0.00025,0.0344,0.014,0.024,8.999999999999999e-05,7.000000000000001e-05,4.7e-05,1.2e-05,0.3,1.1,6.98,3.5999999999999994e-05,2e-05,0.000283,10.0,0.00013000000000000002,,,0.013,552.0,6.0,,46.0,1135.0,4.0,6.0,,,
ricotta,tejtermékek,túrófélék,7.54,49009.524,7.27,73.69,0.154,0.02,0.11,0.206,0.097,0.0175,0.00013700000000000002,,6.42,0.445,0.00013000000000000002,0.00053,1.7999999999999997e-05,1.1e-05,5.9,,0.27,1.3e-05,0.000298,0.00046100000000000004,4.0,0.00011,10.0,0.85,2.659,33.0,,1.1,120.0,,,,49.0,117.0,
zeller,zöldségek,gyökérzöldség,1.5,0.285,9.2,88.0,0.115,0.02,0.1,0.043,0.165,0.009,0.0007,0.008,0.079,0.148,0.0007,0.00033,7.000000000000001e-05,0.000158,0.7,1.8,1.6,5e-05,5.9999999999999995e-05,0.000352,8.0,0.00035999999999999997,,,0.058,,1.0,41.0,,,,,,,
póréhagyma,zöldségek,hagymaféle,1.5,0.21,14.15,83.0,0.035,0.028,0.02,0.059,0.233,0.0095,0.0004,0.012,0.04,0.166,0.0021000000000000003,0.00011999999999999999,0.00011999999999999999,0.000481,1.0,1.8,3.9,5.9999999999999995e-05,2.9999999999999997e-05,0.00014000000000000001,64.0,0.00092,,,0.004,1000.0,1900.0,47.0,83.0,,,,,,
karfiol,zöldségek,káposztafélék,1.92,0.195,4.97,92.07,0.044,0.015,0.03,0.022,0.184,0.0443,0.000507,0.0482,0.13,0.031,0.00041999999999999996,0.00027,3.9e-05,0.000155,0.6,2.0,1.91,5e-05,5.9999999999999995e-05,0.0006670000000000001,57.0,8e-05,,,0.034,,1.0,15.5,,,,,,,
fehérrépa,zöldségek,gyökérzöldség,1.2,0.209,17.99,79.53,0.071,0.029,0.01,0.036,0.09,,0.0007,0.017,0.05,0.047,0.0005899999999999999,0.0005899999999999999,0.00011999999999999999,0.0005600000000000001,1.8,4.9,4.8,8.999999999999999e-05,5e-05,0.0006,67.0,0.00149,,,0.112,,,22.5,,,,,,,
savanyú káposzta,zöldségek,savanyúságok,0.91,0.114,4.28,92.52,0.02,0.013,0.661,0.03,0.13,0.0104,0.00014299999999999998,0.0147,0.034,0.067,0.00147,0.00019,9.6e-05,0.00015099999999999998,0.6,2.9,1.78,2.1000000000000002e-05,2.2e-05,9.3e-05,24.0,0.00014000000000000001,,,0.013,8.0,295.0,13.0,1.0,,5.0,,,,
rukkola,zöldségek,levélzöldség,2.58,0.454,3.65,91.71,0.052,0.047,0.027,0.16,0.073,0.015300000000000001,0.000305,0.015,0.086,0.319,0.00146,0.00047,7.6e-05,0.000321,0.3,1.6,2.05,4.4e-05,8.599999999999999e-05,0.000437,97.0,0.00043,,,0.049,1424.0,3555.0,108.6,119.0,,,,,,
