Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,fehérje,telített zsírsav,többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,rost,cukor,víz,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
krinolin,"felvágottak, húskrémek","virsli, krinolin",0.171,0.015,0.816,0.267,0.322,,0.0027730000000000003,0.002,12.81,8.719,2.233,0.0037,0.00209,7.4e-05,1.6e-05,2.78e-05,0.1,,59.85,0.000593,0.000179,0.000509,3e-06,,,4.9e-07,10.89,,,,7.9e-05,,,,66.0,7.9e-05,
rebarbara,zöldségek,levélzöldség,0.014,0.012,0.004,0.086,0.024,0.0060999999999999995,0.0003,0.008,0.9,0.053,0.099,0.00022,0.0001,2.1000000000000002e-05,0.00019600000000000002,1.1e-06,1.8,1.1,93.61,2e-05,2.9999999999999997e-05,8.5e-05,7e-06,0.00027,,,0.039,6.1e-05,0.00017,2.93e-05,5e-06,,,,,,
csipkebogyó,"gyógynövények, virágok",termés,0.061,0.069,0.004,0.169,0.076,0.012,0.0013,0.426,1.6,,,0.00106,0.00025,0.00011300000000000001,0.00102,,24.1,2.58,58.66,1.6e-05,0.000166,0.0008,3e-06,0.00584,,,,0.00235,0.002001,2.59e-05,0.000217,0.0068,3.1e-05,0.000483,,,
brazil dió - paradió,gyümölcsök,diófélék,0.725,0.376,0.003,0.16,0.101,0.0288,0.00029499999999999996,0.0007,14.32,16.134,24.399,0.0024300000000000003,0.004059999999999999,0.0017430000000000002,0.0012230000000000001,0.001917,7.5,2.33,3.42,0.000617,3.5000000000000004e-05,0.000184,2.2e-05,0.0056500000000000005,,,23.879,,,,,,,,,,
szárított natúr zöldségkeverék,ízesítők,fűszerkeverék,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zöldkagyló,tenger gyümölcsei,tenger gyümölcsei,0.197,0.034,0.286,0.026,0.05,0.065,0.0016,0.008,11.9,0.425,0.606,0.00395,0.0016,9.4e-05,0.0034,4.48e-05,,,80.58,0.00016,0.00020999999999999998,0.0005,4.2e-05,0.00055,,1.2e-05,0.507,,,1.0000000000000001e-07,4.8e-05,,,,28.0,4.8e-05,
curry levél,ízesítők,friss fűszernövény,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halloumi sajt,tejtermékek,sajtok,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
provence-i fűszerkeverék,ízesítők,fűszerkeverék,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bulgur,gabonaipari termékek,gabona,0.3,0.164,0.017,0.035,0.342,0.0281,0.005114,,12.29,0.232,0.541,0.00246,0.0019299999999999999,0.000335,0.003048,2.3e-06,12.5,0.41,9.0,0.000232,0.000115,0.001045,2.7e-05,5.9999999999999995e-05,,,0.173,5e-06,0.00022,1.8999999999999998e-06,,,,,,,
egres,gyümölcsök,bogyós gyümölcs,0.027,0.01,0.001,0.025,0.08,,0.0003,0.0277,0.88,0.038,0.317,0.00031,0.00011999999999999999,7.000000000000001e-05,0.00014399999999999998,6e-07,4.3,,87.87,4e-05,2.9999999999999997e-05,0.00028599999999999996,6e-06,0.00037,,,0.051,,,,1.5e-05,,,,,,
levendulavirág,"gyógynövények, virágok",gyógynövény,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cikória,zöldségek,levélzöldség,0.026,0.01,0.002,0.019,0.042,,0.00016,0.0028,0.9,0.024,0.044,0.00023999999999999998,0.00016,5.1e-05,0.0001,2.0000000000000002e-07,3.1,,94.52,6.2e-05,2.7e-05,0.000145,3.7e-05,,,,0.002,,,,1e-06,,,,,,
kínai ötfűszer-keverék,ízesítők,fűszerkeverék,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kárász,halak,édesvizi hal,0.415,0.029,0.049,0.041,0.19,0.065,0.00164,0.0016,17.83,1.083,1.431,0.00124,0.00148,5.7e-05,4.2000000000000004e-05,1.26e-05,,,76.31,0.000115,5.5e-05,0.00075,1.5e-05,0.00063,0.000988,1.53e-06,2.328,,,1.0000000000000001e-07,9e-06,,,,66.0,9e-06,
amur,halak,édesvizi hal,0.415,0.029,0.049,0.041,0.19,0.065,0.00164,0.0016,17.83,1.083,1.431,0.00124,0.00148,5.7e-05,4.2000000000000004e-05,1.26e-05,,,76.31,0.000115,5.5e-05,0.00075,1.5e-05,0.00063,0.000988,1.53e-06,2.328,,,1.0000000000000001e-07,9e-06,,,,66.0,9e-06,
író,tejtermékek,egyéb tejtermék,0.089,0.011,0.148,0.116,0.034,0.0177,5.8e-05,0.001,3.31,0.66,0.033,5e-05,0.00041999999999999996,1.1e-05,2e-06,2e-06,,5.36,90.13,3.4e-05,0.000154,0.000275,5e-06,5e-05,1e-06,2.2e-07,0.254,1e-06,,1.0000000000000001e-07,1.4e-05,,,,4.0,1.3e-05,
pillecukor,édesítők,"cukorka, csokoládé",0.008,0.002,0.08,0.003,0.003,0.0001,7.8e-05,,1.8,0.056,0.047,0.00023,4e-05,9.7e-05,8e-06,1.7e-06,0.1,57.56,16.4,1e-06,1e-06,5e-06,1e-06,,,,0.08,,,,,,,,,,
szarvasgomba,gombák,erdei gomba,,,,,,,,,6.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
tagin fűszerkeverék,ízesítők,fűszerkeverék,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sózott citrom,egyéb gyümölcsök,egyéb gyümölcskészítmény,,,2.3,,,,,,0.0,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,
tequila,italok,alkoholos ital,0.004,,0.001,,0.001,,1.3e-05,,0.0,,,4e-05,4e-05,2.1000000000000002e-05,1.7999999999999997e-05,,,,66.6,6e-06,4e-06,,,,,,,,,,,,,,,,
lestyán,ízesítők,friss fűszernövény,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
búzakorpa,gabonaipari termékek,"pehely, korpa, csíra",1.013,0.611,0.002,0.073,1.303,0.07440000000000001,0.013578,,15.55,0.63,2.212,0.01057,0.0072699999999999996,0.000998,0.0115,7.759999999999999e-05,42.8,0.41,9.89,0.000523,0.0005769999999999999,0.002181,7.9e-05,0.00149,,,0.637,6e-06,0.00024,1.8999999999999998e-06,,,,,,,
csicsóka,zöldségek,gyökérzöldség,0.078,0.017,0.004,0.014,0.077,0.03,0.0013,0.004,2.0,,0.001,0.0034,0.00011999999999999999,0.00014000000000000001,5.9999999999999995e-05,7e-07,1.6,9.6,78.01,0.0002,5.9999999999999995e-05,0.000397,1.3e-05,0.00019,,,0.004,1.2e-05,,1.0000000000000001e-07,1e-06,,,,,,
jégsaláta,zöldségek,levélzöldség,0.02,0.007,0.01,0.018,0.042,0.0067,0.000123,0.0028,0.9,0.018,0.074,0.00041,0.00015,2.5e-05,0.000125,1.0000000000000001e-07,1.2,1.97,95.64,4.1e-05,2.5e-05,9.1e-05,2.9e-05,0.00017999999999999998,,,0.006,0.000299,0.000277,2.4100000000000003e-05,2.5e-05,,4e-06,,,,
pasztinák,zöldségek,gyökérzöldség,0.071,0.029,0.01,0.036,0.09,,0.0007,0.017,1.2,0.05,0.047,0.0005899999999999999,0.0005899999999999999,0.00011999999999999999,0.0005600000000000001,1.8000000000000001e-06,4.9,4.8,79.53,8.999999999999999e-05,5e-05,0.0006,6.7e-05,0.00149,,,0.112,,,2.25e-05,,,,,,,
csiperkegomba,gombák,erdei gomba,0.086,0.009,0.005,0.003,0.104,0.0173,0.0036070000000000004,0.0021000000000000003,3.09,0.05,0.16,0.0005,0.0005200000000000001,0.00031800000000000003,4.7e-05,9.3e-06,1.0,1.98,92.45,8.1e-05,0.000402,0.001497,1.7e-05,1e-05,7e-06,4e-08,,,,,,,,,,,
nektarin,gyümölcsök,csonthéjas gyümölcs,0.026,0.009,,0.006,0.025,0.0062,0.001125,0.0054,1.06,0.025,0.113,0.00028000000000000003,0.00017,8.599999999999999e-05,5.4e-05,,1.7,7.89,87.59,3.4e-05,2.7e-05,0.000185,5e-06,0.0007700000000000001,,,0.088,0.00015,0.00013,2.2e-06,1.7e-05,,,9.8e-05,,,
patisszon,zöldségek,"tök, spárga",0.036,0.023,0.001,0.019,0.109,0.0073,0.0006,0.018,1.2,0.041,0.084,0.0004,0.00029,0.000102,0.000157,2.0000000000000002e-07,1.2,2.39,94.18,7.000000000000001e-05,2.9999999999999997e-05,0.000102,3e-05,0.00013000000000000002,,,0.015,0.00013,0.002308,3.2999999999999997e-06,1.1e-05,,,,,,
tojáslikőr,italok,alkoholos ital,0.006,0.003,0.008,0.001,,0.0008,0.00014399999999999998,,0.1,0.106,0.105,5.9999999999999995e-05,2.9999999999999997e-05,4e-05,1.4e-05,4.0000000000000003e-07,,38.3,31.0,4e-06,1.2e-05,,,,,,0.022,,,,,,,,,,
vaddisznóhús,"húsok, belsőségek",vad,0.12,,,0.012,,,0.004,,21.51,0.99,0.48,,,,,9.800000000000001e-06,,,72.54,0.00039,0.00011,,,,,,1.3,,,,,,,,,,
ketchup,ízesítők,fűszeres szósz,0.026,0.013,0.907,0.015,0.158,0.0125,0.001434,0.0040999999999999995,1.04,0.014,0.041,0.00035,0.00017,8.5e-05,8.400000000000001e-05,7e-07,0.3,21.27,68.51,1.1e-05,0.000166,4.7e-05,9e-06,0.00146,,,0.015,0.000316,0.000161,3e-06,2.6e-05,0.012062,,,,,
puffasztott rizs,gabonaipari termékek,"pehely, korpa, csíra",,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osztrigaszósz,ízesítők,fűszeres szósz,0.022,0.004,2.733,0.032,0.016,0.0035,0.001474,0.0001,1.35,0.043,0.066,0.00017999999999999998,8.999999999999999e-05,0.000147,5.3e-05,4.4e-06,0.3,,80.0,1e-05,0.000124,1.6e-05,1.5e-05,,,4.1e-07,0.073,,,,,,,,,,
kétszersült,gabonaipari termékek,kenyérfélék,,,0.4,,,,,,11.0,,,,,,,,14.0,1.0,,,,,,,,,,,,,,,,,,,
pudingpor,édesítők,"puding, pudingpor",0.013,0.003,0.009,0.002,,0.0004,,,0.26,0.009,0.025,0.00047,5.9999999999999995e-05,5e-05,5.3e-05,2.8e-06,0.9,,8.32,,,,,,,,0.016,,,,,,,,,,
ételízesítő,ízesítők,fűszerkeverék,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tejpor,tejtermékek,egyéb tejtermék,0.776,0.085,0.371,0.912,0.302,0.1174,0.000646,0.0086,26.32,16.742,0.665,0.00047,0.0033399999999999997,8e-05,4e-05,1.63e-05,,38.42,2.47,0.000283,0.0012050000000000001,0.002271,3.7e-05,0.00058,2e-05,3.25e-06,7.924,5.5e-05,,2.2e-06,0.000258,,,,97.0,0.000253,
leveskocka,ízesítők,"alapporok, mártásalapok, leveskockák",,,15.3,,,,,,4.0,13.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
ostya,gabonaipari termékek,tésztaalap,,,0.01,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
őzhús,"húsok, belsőségek",vad,0.202,0.023,0.051,0.005,0.37,,0.00637,,22.96,0.95,0.47,0.0034,0.00209,0.000253,4.1e-05,9.699999999999999e-06,,,73.57,0.00022,0.00047999999999999996,,4e-06,0.0002,,6.31e-06,0.67,,,1.1e-06,,,,,85.0,,
szarvashús,"húsok, belsőségek",vad,0.202,0.023,0.051,0.005,0.37,,0.00637,,22.96,0.95,0.47,0.0034,0.00209,0.000253,4.1e-05,9.699999999999999e-06,,,73.57,0.00022,0.00047999999999999996,,4e-06,0.0002,,6.31e-06,0.67,,,1.1e-06,,,,,85.0,,
chorizo,"felvágottak, húskrémek","kolbász, szalámi",0.149,0.02,0.788,0.019,0.313,0.09670000000000001,0.00547,,13.63,8.595,4.296,0.00141,0.0016799999999999999,8.400000000000001e-05,9.3e-05,1.86e-05,,,54.77,0.000207,0.00031,,,0.00022,6.1e-05,2e-06,10.603,,,,,,,,63.0,,
sherry,italok,alkoholos ital,0.05,0.002,0.092,0.016,0.011,0.0081,7.8e-05,0.0002,2.8,9.664,0.669,0.00013000000000000002,0.00016,4e-05,6e-06,4.0000000000000003e-07,,19.76,46.5,1.1e-05,5.7e-05,8.7e-05,2e-06,0.00045,,8e-08,4.458,3e-05,,1.3e-06,0.000173,,,,58.0,0.000171,
zúza,"húsok, belsőségek",csirkehús,0.148,0.015,0.069,0.011,0.112,,0.00368,0.0037,17.66,0.529,0.357,0.00249,0.00272,0.000116,5.5e-05,2.55e-05,,,79.33,2.8e-05,0.000231,0.000631,5e-06,0.00033,,1.21e-06,0.512,,,,1.9e-05,,,,240.0,1.9e-05,
paprikakrém,ízesítők,fűszerkrém,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babapiskóta,gabonaipari termékek,"keksz, piskóta",,,0.07,,,,,,8.0,,,,,,,,2.0,39.0,,,,,,,,,,,,,,,,,,,
szója,zöldségek,hüvelyesek,0.649,0.228,0.002,0.14,0.225,,0.001056,0.0046,43.32,3.127,12.207,0.00395,0.00477,0.0010789999999999999,0.002184,1.93e-05,8.1,,0.8,0.00042699999999999997,0.000755,0.00047299999999999995,0.000205,,,,4.776,,,3.7e-05,,,,,,,
repceolaj,zsiradékok,növényi eredetű zsiradék,,,,,,0.0002,,,0.0,7.365,28.142,,,,,,,,,,,,,0.01746,,,63.276,,,7.13e-05,,,,,,,
tortellini,tészták,töltött tészta,0.212,0.021,0.406,0.152,0.043,0.0054,0.002696,,13.5,3.6,0.461,0.0015,0.00102,8e-05,,2.3899999999999998e-05,1.9,0.95,30.5,0.000313,0.00031,,7.4e-05,0.00016,,1.6e-07,2.066,1.1e-05,3.2e-05,1.3e-06,3.8e-05,,,1e-06,42.0,3.7e-05,6.2e-05
lekvár/ dzsem,"lekvár, dzsem",dzsem,0.019,0.004,0.032,0.02,0.02,0.010199999999999999,3.5999999999999994e-05,0.0088,0.37,0.01,,0.00049,5.9999999999999995e-05,0.0001,4e-05,2e-06,1.1,48.5,30.47,1.6e-05,7.6e-05,2e-05,1.1e-05,0.00011999999999999999,,,0.038,,,,,,,,,,
fekete üröm,ízesítők,friss fűszernövény,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cannelloni,tészták,olasz tészta,0.189,0.053,0.006,0.021,0.142,0.015099999999999999,0.007176999999999999,,13.04,0.277,0.564,0.0033,0.00141,0.000289,0.0009170000000000001,6.32e-05,3.2,2.67,9.9,0.000891,0.0004,0.000431,0.000237,0.00011,,,0.171,,1.8e-05,1.0000000000000001e-07,,,,,,,0.000219
citrombors,ízesítők,szárított fűszer,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vadrizs,gabonaipari termékek,gabona,0.433,0.177,0.007,0.021,0.391,0.035,0.006732999999999999,,14.73,0.156,0.676,0.00196,0.00596,0.000524,0.0013289999999999999,2.8e-06,6.2,2.5,7.76,0.000115,0.000262,0.001074,9.5e-05,0.00082,,,0.159,1.1e-05,0.00022,1.8999999999999998e-06,1e-06,,,,,,
gyros fűszerkeverék,ízesítők,fűszerkeverék,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortabevonó,édesítők,"cukorka, csokoládé",0.206,0.146,0.024,0.056,0.042,,0.000725,,4.88,18.519,1.092,0.00802,0.0020099999999999996,0.001028,0.0014190000000000001,3e-06,7.0,47.9,0.97,2.5e-05,5e-05,0.000297,,0.00054,,2.3000000000000002e-07,9.54,2.6e-05,3.1e-05,8.1e-06,2e-06,,7e-06,1e-06,8.0,,
alaplé,ízesítők,alaplevek,,,0.32,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tea,italok,tea,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenyér,gabonaipari termékek,kenyérfélék,0.129,0.041,0.473,0.125,0.111,0.018699999999999998,0.0055899999999999995,0.0002,10.67,0.697,1.615,0.0036,0.0010400000000000001,0.000148,0.001026,2.8800000000000002e-05,4.0,5.73,35.25,0.00041099999999999996,0.000252,0.00082,8.5e-05,0.00019,,,0.612,1e-06,4.4e-05,4.9000000000000005e-06,,,,,,,2e-05
füstölt hal,halak,halkészítmények,0.164,0.018,0.672,0.011,0.278,0.089,0.004719999999999999,,18.28,0.929,0.995,0.00085,0.00031,0.00023,1.7e-05,3.24e-05,,,72.0,2.3e-05,0.000101,0.00087,2e-06,0.00135,0.000685,3.2599999999999997e-06,2.023,,,1.0000000000000001e-07,2.6e-05,,,,23.0,2.6e-05,
haltej/halikra,halak,édesvizi hal,0.402,0.02,0.091,0.022,0.16,0.3354,0.0018,0.016,22.32,1.456,2.656,0.0006,0.001,0.0001,1e-05,4.03e-05,,,67.73,0.00023999999999999998,0.00074,0.001,8e-05,0.007,0.000484,1e-05,1.661,,0.000214,2.0000000000000002e-07,9e-05,,,,374.0,9e-05,
növényi tej,növényi tejtermékek,növényi tej,0.056,0.011,0.039,0.118,0.039,0.0021000000000000003,0.00039,,0.28,,0.313,0.0002,0.00013000000000000002,3.7e-05,0.00028199999999999997,2.2e-06,0.3,5.28,89.28,2.7e-05,0.00014199999999999998,0.000146,2e-06,0.00047,4.2e-05,6.3e-07,0.625,,,2.0000000000000002e-07,6.3e-05,,,,,6.3e-05,
keksz,gabonaipari termékek,"keksz, piskóta",,,0.3,,,,,,9.0,3.0,,,,,,,3.0,19.0,,,,,,,,,,,,,,,,,,,
felvágott,"felvágottak, húskrémek",sonkák,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sűrített tej (cukrozott),tejtermékek,egyéb tejtermék,0.253,0.026,0.127,0.284,0.051,0.0891,0.00020999999999999998,0.0026,7.91,5.486,0.337,0.00019,0.00094,1.4999999999999999e-05,6e-06,1.48e-05,,54.4,27.16,8.999999999999999e-05,0.000416,0.00075,1.1e-05,0.00016,6e-06,4.4e-07,2.427,1.4e-05,,6e-07,7.4e-05,,,,34.0,7.3e-05,
kukoricapehely,gabonaipari termékek,"pehely, korpa, csíra",0.033,0.007,0.571,0.002,1.907,0.0022,0.021033,0.065,5.9,0.227,0.293,0.019399999999999997,0.0002,7.5e-05,9.5e-05,2.2e-06,2.7,7.84,3.31,0.004483,0.00174,9.900000000000001e-05,0.000714,2e-05,0.000286,5.36e-06,0.107,0.000144,,,0.000981,,3.8e-05,0.000111,,0.000962,
növényi habtejszín,növényi tejtermékek,növényi tejszínek,,,0.06,,,,,,3.0,22.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,
graham-liszt,gabonaipari termékek,lisztek,0.323,0.117,0.003,0.033,0.191,0.0312,0.005347,,9.61,0.43,1.167,0.0037099999999999998,0.00296,0.000475,0.003399,1.2699999999999999e-05,13.1,1.02,12.42,0.000297,0.000188,0.001011,2.8e-05,0.00053,,,0.283,5e-06,0.00022,1.8999999999999998e-06,,,,,,,
amarettó,italok,alkoholos ital,0.006,0.003,0.008,0.001,,0.0008,0.00014399999999999998,,0.1,0.106,0.105,5.9999999999999995e-05,2.9999999999999997e-05,4e-05,1.4e-05,4.0000000000000003e-07,,38.3,31.0,4e-06,1.2e-05,,,,,,0.022,,,,,,,,,,
hal,halak,édesvizi hal,0.17,0.027,0.052,0.01,0.162,0.0425,0.0039030000000000002,,20.08,0.585,0.363,0.0005600000000000001,0.00033,7.5e-05,3.7e-05,4.18e-05,,,78.08,4.1e-05,6.3e-05,0.00048699999999999997,2.4e-05,0.0004,0.000124,1.5800000000000001e-06,0.498,,,1.4e-06,,,,,50.0,,
mézeskalács fűszerkeverék,ízesítők,fűszerkeverék,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fűszersó,ízesítők,sófélék,,0.001,38.758,0.024,,,,,0.0,,,0.00033,0.0001,2.9999999999999997e-05,0.0001,1.0000000000000001e-07,,,0.2,,,,,,,,,,,,,,,,,,
osztriga,tenger gyümölcsei,tenger gyümölcsei,0.097,0.018,0.085,0.059,0.031,0.065,0.000925,,5.71,0.474,0.528,0.00461,0.039299999999999995,0.0028580000000000003,0.000296,1.9699999999999998e-05,,0.62,89.04,1.7999999999999997e-05,8.999999999999999e-05,0.000223,7e-06,0.00085,1e-06,8.75e-06,0.253,,,1e-06,1.3e-05,,,,40.0,1.3e-05,
müzli,gabonaipari termékek,"pehely, korpa, csíra",,,0.017,,,,,,9.0,,,,,,,,10.0,16.0,,,,,,,,,,,,,,,,,,,
réteslap,gabonaipari termékek,tésztaalap,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halszósz,ízesítők,fűszeres szósz,0.007,0.175,7.851,0.043,0.396,0.0132,0.002313,0.0005,5.06,0.003,0.003,0.00078,0.0002,5e-05,0.00023300000000000003,9.1e-06,,3.64,71.07,1.2e-05,5.7e-05,0.000118,5.1e-05,,,4.8e-07,0.002,,,,4e-06,,,,,4e-06,
üvegtészta,tészták,különleges tészta,0.032,0.003,0.01,0.025,0.05,0.0932,0.0002,,0.16,0.017,0.018,0.00217,0.00041,8.1e-05,0.0001,7.9e-06,0.5,,13.42,0.00015,,0.0001,2e-06,0.00013000000000000002,,,0.008,,,,,,,,,,
borkén,ízesítők,adalékanyag,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szalicil,ízesítők,adalékanyag,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worcestershire-szósz,ízesítők,fűszeres szósz,0.06,0.013,1.3,0.107,,0.0027,0.0007,0.013,0.0,,,0.0053,0.00019,0.0002,,5e-07,,10.03,78.54,7.000000000000001e-05,0.00013000000000000002,,8e-06,8e-05,,,,4.3e-05,4.8e-05,1e-06,5e-06,,1e-06,3e-06,,1e-06,
tilápia,halak,tengeri hal,0.17,0.027,0.052,0.01,0.162,0.0425,0.0039030000000000002,,20.08,0.585,0.363,0.0005600000000000001,0.00033,7.5e-05,3.7e-05,4.18e-05,,,78.08,4.1e-05,6.3e-05,0.00048699999999999997,2.4e-05,0.0004,0.000124,1.5800000000000001e-06,0.498,,,1.4e-06,,,,,50.0,,
rózsabors,ízesítők,szárított fűszer,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
római saláta,zöldségek,levélzöldség,0.03,0.014,0.008,0.033,0.074,0.0099,0.000313,0.004,1.23,0.039,0.16,0.0009699999999999999,0.00023,4.8e-05,0.000155,4.0000000000000003e-07,2.1,1.19,94.61,7.199999999999999e-05,6.7e-05,0.00014199999999999998,0.000136,0.00013000000000000002,,,0.012,0.005226,0.002312,0.0001025,0.000436,,,,,,
nutella,édesítők,"cukorka, csokoládé",0.152,0.064,0.041,0.108,0.082,0.0176,0.00042699999999999997,,5.41,28.423,,0.00438,0.00106,0.00046899999999999996,0.000868,3.6000000000000003e-06,5.4,54.05,1.07,8.5e-05,0.00017,0.000357,1.4e-05,0.00496,,2.7e-07,,1e-06,1e-05,1.8999999999999998e-06,1e-06,,,,,,
dupla tejszín,tejtermékek,"tejszín, tejföl",,,0.043,,,,,,1.0,42.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
curry paszta,ízesítők,fűszerkrém,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvados,italok,alkoholos ital,0.005,,0.001,,,,,,0.0,,,1e-05,,1e-05,,,,,66.6,5e-06,7e-06,,,,,,,,,,,,,,,,
kéksajt,tejtermékek,sajtok,0.387,0.023,1.146,0.528,0.166,0.0154,0.001016,,21.4,18.669,0.8,0.00031,0.00266,4e-05,8.999999999999999e-06,1.45e-05,,0.5,42.41,2.9e-05,0.000382,0.001729,3.6e-05,0.00025,2.1e-05,1.22e-06,7.778,7.4e-05,,2.4e-06,0.000198,,,,75.0,0.000192,
tabasco szósz,ízesítők,fűszeres szósz,0.023,0.012,0.633,0.012,0.154,,0.000178,0.0045,1.29,0.106,0.401,0.00116,0.00016,7.5e-05,0.000107,5e-07,0.6,0.13,95.17,3.2e-05,8.400000000000001e-05,0.00011,1e-06,1e-05,,,0.061,0.000919,1e-05,2.0000000000000002e-07,8.2e-05,,6.2e-05,6.8e-05,,,1e-06
ghee,tejtermékek,"vaj, vajkrém",0.024,0.002,0.011,0.024,0.003,0.0188,4.2000000000000004e-05,,0.85,50.489,3.01,2e-05,8.999999999999999e-05,1.6e-05,4e-06,1e-06,,0.06,16.17,5e-06,3.4e-05,0.00011,3e-06,0.00232,,1.7000000000000001e-07,23.43,0.000158,,7e-06,0.000684,,,,215.0,0.000671,
quinoa,gabonaipari termékek,gabona,0.457,0.197,0.005,0.047,0.487,0.0702,0.00152,,14.12,0.706,3.292,0.00457,0.0031,0.0005899999999999999,0.002033,8.5e-06,7.0,,13.28,0.00035999999999999997,0.00031800000000000003,0.000772,0.000184,0.00244,,,1.613,8e-06,0.000163,,1e-06,,,1e-06,,,
gyöngyhagyma,zöldségek,hagymaféle,0.029,0.01,0.004,0.023,0.12,0.0060999999999999995,0.000116,0.0074,1.1,0.042,0.017,0.00020999999999999998,0.00017,3.9e-05,0.000129,5e-07,1.7,4.24,89.11,4.6e-05,2.7e-05,0.000123,1.9e-05,2e-05,,,0.013,1e-06,4e-06,4.0000000000000003e-07,,,,,,,
rizsliszt,gabonaipari termékek,lisztek,0.098,0.035,,0.01,0.436,0.0058,0.00259,,5.95,0.386,0.379,0.00035,0.0008,0.00013000000000000002,0.0012,1.51e-05,2.4,0.12,11.89,0.00013800000000000002,2.1000000000000002e-05,0.000819,4e-06,0.00011,,,0.442,,,,,,,,,,
kókusztej,növényi tejtermékek,növényi tej,0.096,0.046,0.013,0.018,0.028,0.0085,0.000637,0.001,2.02,18.915,0.233,0.0033,0.0005600000000000001,0.000223,0.000768,,,,72.88,2.2e-05,,0.000153,1.4e-05,,,,0.907,,,,,,,,,,
füstölt pirospaprika,ízesítők,szárított fűszer,0.314,0.178,0.068,0.229,2.141,0.0515,0.010060000000000001,0.0009,14.14,2.14,7.766,0.02114,0.00433,0.000713,0.00159,6.3e-06,34.9,10.34,11.24,0.00033,0.00123,0.0025099999999999996,4.9e-05,0.0291,,,1.695,0.026162,0.018944,8.03e-05,0.002463,,0.000595,0.006186,,,
ételfesték,ízesítők,adalékanyag,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camembert sajt,tejtermékek,sajtok,0.347,0.02,0.842,0.388,0.227,0.0154,0.00063,,19.8,15.259,0.724,0.00033,0.0023799999999999997,2.1000000000000002e-05,3.8e-05,1.45e-05,,0.46,51.8,2.8e-05,0.000488,0.0013640000000000002,6.2e-05,0.00020999999999999998,1.8e-05,1.3e-06,7.023,1.2e-05,,2e-06,0.000241,,,,72.0,0.00024,
portobello gomba,gombák,erdei gomba,0.108,,0.009,0.003,0.148,0.0212,0.004494,,2.11,0.01,0.296,0.00031,0.00053,0.00028599999999999996,6.900000000000001e-05,1.86e-05,1.3,2.5,92.82,5.9e-05,0.00013000000000000002,0.00114,2.8e-05,2e-05,1e-05,5.0000000000000004e-08,0.044,,,,,,,,,,
