Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,fehérje,telített zsírsav,többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,rost,cukor,víz,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
feketegyökér,zöldségek,gyökérzöldség,0.075,0.023,0.02,0.06,0.277,,0.0005,0.008,3.3,,,0.0007,0.00038,8.9e-05,0.000268,8.000000000000001e-07,3.3,,77.0,8e-05,0.00022,0.000371,2.6e-05,,,,,,,,,,,,,,
fekete retek,zöldségek,gyökérzöldség,0.02,0.01,0.039,0.025,0.071,0.0065,0.000254,0.0148,0.68,0.032,0.048,0.00034,0.00028000000000000003,5e-05,6.900000000000001e-05,6e-07,1.6,1.86,95.27,1.2e-05,3.9e-05,0.000165,2.5e-05,,,,0.017,4e-06,1e-05,1.3e-06,,,,,,,
víz,italok,vizek,,0.001,0.004,0.003,,,,,0.0,,,,1e-05,1e-05,,,,,99.9,,,,,,,,,,,,,,,,,,
margarin,zsiradékok,növényi eredetű zsiradék,0.005,0.003,0.002,0.003,0.009,0.0124,2.3e-05,0.0002,0.16,15.189,24.302,5.9999999999999995e-05,,,,,,,16.52,1e-05,3.7e-05,,1e-06,0.009,,1.0000000000000001e-07,38.877,0.00061,,9.3e-05,0.000819,,,,,0.000768,
majonéz,ízesítők,"mártás, öntet",,,0.6,,,,,,1.0,6.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
amarántliszt,gabonaipari termékek,különleges liszt,0.557,0.248,0.004,0.159,0.591,0.0698,0.000923,0.004200000000000001,13.56,1.459,2.778,0.0076100000000000004,0.00287,0.0005250000000000001,0.003333,1.87e-05,6.7,1.69,11.29,0.000116,0.0002,0.0014570000000000002,8.2e-05,0.0011899999999999999,,,1.685,1e-06,2.8e-05,,,,,,,,
cékla,zöldségek,gyökérzöldség,0.04,0.023,0.078,0.016,0.067,0.006,0.00033400000000000004,0.004900000000000001,1.61,0.027,0.06,0.0008,0.00035,7.5e-05,0.00032900000000000003,7e-07,2.8,6.76,87.58,3.1e-05,4e-05,0.000155,0.000109,4e-05,,,0.032,2e-05,,2.0000000000000002e-07,2e-06,,,,,,
zselatin,ízesítők,adalékanyag,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udon tészta,tészták,különleges tészta,0.08,0.028,1.84,0.023,0.05,,0.000875,,11.35,0.115,0.33,0.00132,0.00045,0.00014399999999999998,0.000479,8.3e-06,4.3,,9.21,0.000101,2.6e-05,0.000491,1.4e-05,,,,0.095,,,,,,,,,,
brokkoli,zöldségek,káposztafélék,0.066,0.021,0.033,0.047,0.175,0.018699999999999998,0.000639,0.0892,2.82,0.114,0.112,0.00073,0.00041,4.9000000000000005e-05,0.00020999999999999998,2.5e-06,2.6,1.7,89.3,7.099999999999999e-05,0.00011700000000000001,0.0005729999999999999,6.3e-05,0.00078,,,0.031,0.000361,0.001403,0.00010159999999999999,3.1e-05,,2.5e-05,1e-06,,,
pita,gabonaipari termékek,kenyérfélék,0.097,0.026,0.536,0.086,0.034,,0.002142,,9.1,0.166,0.535,0.0014,0.0008399999999999999,0.00016800000000000002,0.000481,,2.2,,32.1,0.00026700000000000004,9.7e-05,0.000397,2.4e-05,,,,0.105,,,,,,,,,,
kókusz,gyümölcsök,déli gyümölcs,0.113,0.032,0.02,0.014,0.054,0.0121,0.00054,0.0033,3.33,29.698,0.366,0.0024300000000000003,0.0011,0.000435,0.0015,1.01e-05,9.0,6.23,46.99,6.6e-05,2e-05,0.0003,2.6e-05,0.00023999999999999998,,,1.425,,,2.0000000000000002e-07,,,,,,,
